game_id,team_id,player_id,side_id,opp_team_id,pts,fgm,fga,fgperc,twoptm,twopta,twoptperc,threeptm,threepta,threeptperc,ftm,fta,ftperc,oreb,dreb,reb,ast,tov,stl,blk,blka,fc,sfc,nsfc,fd,sfd,nsfd,pir,plus_minus_pts,seconds_played,plus_minus_reb,plus_minus_ast,plus_minus_stl,plus_minus_tov,plus_minus_fc
20191024-1930-greenmachine-northlondonlions,greenmachine,rockets-malachi,0,northlondonlions,9,3,3,100.0,3,3,100.0,0,0,0,3,4,75.0,2,2,4,1,1,0,0,0,1,0,1,2,2,0,13,-6,1098,5,2,-6,7,-7
20191024-1930-greenmachine-northlondonlions,greenmachine,greenmachine-jayd,0,northlondonlions,0,0,4,0,0,3,0,0,1,0,0,0,0,0,3,3,2,1,1,0,1,0,0,0,0,0,0,0,-1,887,-3,2,-2,0,-2
20191024-1930-greenmachine-northlondonlions,greenmachine,greenmachine-basel,0,northlondonlions,8,4,14,28.6,4,11,36.4,0,3,0,0,0,0,3,4,7,4,4,1,0,0,2,0,2,4,0,4,8,-13,1441,3,0,-5,9,-4
20191024-1930-greenmachine-northlondonlions,northlondonlions,northlondonlions-tanky,1,greenmachine,17,7,17,41.2,4,6,66.7,3,11,27.3,0,0,0,1,3,4,5,0,3,0,0,0,0,0,3,0,3,22,13,2035,-3,-1,4,-8,1
20191024-1930-greenmachine-northlondonlions,northlondonlions,northlondonlions-kylie,1,greenmachine,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,1,11,1024,-2,-3,4,-7,0
20191024-1930-greenmachine-northlondonlions,northlondonlions,northlondonlions-kat,1,greenmachine,6,3,4,75.0,3,3,100.0,0,1,0,0,0,0,1,0,1,1,2,0,0,0,0,0,0,0,0,0,5,12,1458,8,0,5,-3,4
20191024-1930-greenmachine-northlondonlions,northlondonlions,northlondonlions-boma,1,greenmachine,23,9,23,39.1,7,13,53.8,2,10,20.0,3,5,60.0,3,10,13,2,2,4,1,0,3,3,0,3,3,0,25,12,1716,0,-3,5,-6,5
20191024-1930-greenmachine-northlondonlions,northlondonlions,northlondonlions-tom,1,greenmachine,6,3,4,75.0,3,4,75.0,0,0,0,0,0,0,6,5,11,3,2,0,0,0,3,2,1,1,0,1,15,14,1256,10,0,3,-1,0
20191024-1930-greenmachine-northlondonlions,northlondonlions,northlondonlions-zoey,1,greenmachine,2,1,6,16.7,1,4,25.0,0,2,0,0,0,0,0,1,1,0,0,1,0,0,1,0,1,0,0,0,-2,7,1538,-4,-2,4,-5,4
20191024-1930-greenmachine-northlondonlions,northlondonlions,northlondonlions-kenny,1,greenmachine,3,1,6,16.7,0,4,0,1,2,50.0,0,0,0,1,1,2,2,3,1,0,0,4,0,4,0,0,0,-4,9,1430,-3,0,6,-6,7
20191024-2015-camdenhells-rockets,camdenhells,kissmygrass-steph,0,rockets,0,0,1,0,0,0,0,0,1,0,0,0,0,0,2,2,1,2,1,0,0,1,0,1,1,0,1,1,-17,1622,-8,-6,-7,4,0
